norm_title,critics_consensus,tomatometer_rating
great expectations,Great Expectations is all surface tension: beautiful people shot in beautiful locations without any depth or emotion.,37.0
high flying bird,High Flying Bird takes a thoughtful and engrossing look at professional sports that sees Steven Soderbergh continuing to test the limits of new filmmaking technology.,92.0
hell ride,"Hell Ride misses out on the rusting zeitgeist of the biker genre, sucking the glee from a saucy premise.",10.0
saving private ryan,"Anchored by another winning performance from Tom Hanks, Steven Spielberg's unflinchingly realistic war film virtually redefines the genre.",93.0
happy here and now,"Happy Here and Now has a rich setting and some interesting ideas, but the story frustratingly refuses to spark to life.",48.0
monte carlo,"Although it has its charming moments, Monte Carlo is mostly silly, predictable stuff that never pushes beyond the boundaries of formula.",40.0
half nelson,"Half Nelson features powerful performances from Ryan Gosling and Shareeka Epps. It's a wise, unsentimental portrait of lonely people at the crossroads.",90.0
what if,"Its narrative framework may be familiar, but What If transcends its derivative elements with sharp dialogue and the effervescent chemistry of stars Daniel Radcliffe and Zoe Kazan.",74.0
the ten commandments,"Bombastic and occasionally silly but extravagantly entertaining, Cecil B. DeMille's all-star spectacular is a muscular retelling of the great Bible story.",89.0
spy kids all the time in the world in 4d,"Burdened by a rote plot and unfunny scatological humor, All the Time in the World suggests that the Spy Kids franchise has run its course.",22.0
marshland la isla mínima,"As narratively taut as it is richly atmospheric, Marshland keeps viewers guessing throughout a procedural thriller with surprising nuance.",92.0
jurassic world,"Jurassic World can't match the original for sheer inventiveness and impact, but it works in its own right as an entertaining -- and visually dazzling -- popcorn thriller.",70.0
presenting princess shaw,Presenting Princess Shaw works as a uniquely uplifting look at internet stardom -- and a compelling glimpse of an artist whose gifts transcend the medium.,91.0
the informant,A charismatic turn by star Matt Damon and a consistently ironic tone boost this quietly funny satire about a corporate whistle-blower.,79.0
the motorcycle diaries,"The Motorcycle Diaries is heartfelt and profound in its rendering of the formative experiences that turn Ernesto ""Che"" Guerva into a famous revolutionary.",83.0
brief encounter,"Brief Encounter adds a small but valuable gem to the Lean filmography, depicting a doomed couple's illicit connection with affecting sensitivity and a pair of powerful performance.",91.0
white hunter black heart,"White Hunter Black Heart is powerful, intelligent, and subtly moving, a fascinating meditation on masculinity and the insecurities of artists.",86.0
mad dog and glory,Inspired casting and a prevailing sweetness make Mad Dog and Glory an oddball treat.,77.0
chavela,Chavela pays affecting tribute to its subject with an absorbing documentary that outlines her remarkable life while effectively communicating the power and lingering impact of her art.,95.0
hubble 3d,"Offering a stunning, expansive viewing experience, Hubble 3D takes advantage of IMAX and 3-D technology like no other film.",88.0
the broken hearts club,The Broken Hearts Club often feels like an amalgam of 70s sitcoms -- though a hunky lead and a sweet central romance provide soapy delights.,62.0
whats the worst that could happen,Talented cast is squandered by an uninvolving script filled with unfunny gags.,10.0
it,"Well-acted and fiendishly frightening with an emotionally affecting story at its core, It amplifies the horror in Stephen King's classic story without losing touch with its heart.",85.0
ringu ring,Ringu combines supernatural elements with anxieties about modern technology in a truly frightening and unnerving way.,97.0
attenberg,"At once playfully eccentric and poignantly bittersweet, Attenberg adds a refreshing sideways spin to the arthouse coming-of-age drama.",78.0
heavy metal in baghdad,"Despite being a Gonzo-esque rockumentary following the fortunes of Iraq's one and only heavy metal band, Acrassicauda, Heavy Metal is actually a moving and impassioned account of the middle-east crisis.",83.0
tale of tales il racconto dei racconti,"Visually splendid and narratively satisfying, Tale of Tales packs an off-kilter wallop for mature viewers in search of something different.",83.0
the dictator,"Wildly uneven but consistently provocative, The Dictator is a decent entry in the poli-slapstick comedy genre.",57.0
sous le sable under the sand,Rampling carries the film with her finely nuanced performance of a woman coping with her husband's death.,93.0
skins,"Though at times melodramatic, Skins' harsh depiction of life on the reservation is an eye-opener.",59.0
october country,"It flirts with voyeurism, but this deeply personal look at a working-class family in upstate New York is piercingly honest and refreshingly unsentimental.",88.0
my dinner with hervé,"My Dinner with Hervé offers a standard narrative on celebrity and infamy, but formidable performances by Peter Dinklage and Jamie Dornan find the dimensionality and pathos of Hervé Villechaize the man.",83.0
anna karenina,"Joe Wright's energetic adaptation of Tolstoy's classic romance is a bold, visually stylized work -- for both better and worse.",63.0
downsizing,Downsizing assembles a talented cast in pursuit of some truly interesting ideas -- which may be enough for some audiences to forgive the final product's frustrating shortcomings.,46.0
valley girl,"Valley Girl won't, like, make you forget the original or anything, but as a breezy jukebox musicals go, it's still fairly rad.",55.0
the mule,"A flawed yet enjoyable late-period Eastwood entry, The Mule stubbornly retains its footing despite a few missteps on its occasionally unpredictable path.",70.0
first reformed,"Brought to life by delicate work from writer-director Paul Schrader and elevated by a standout performance by Ethan Hawke, First Reformed takes a sensitive and suspenseful look at weighty themes.",93.0
princess kaiulani,"A middling biopic about an important figure in Hawaiian history, Princes Kaiulani looks and feels like a TV movie of the week and offers about as much insight.",18.0
careful what you wish for,"Audiences yearning for a modern update on the erotic thriller formula will be sorely disappointed by this turgid incarnation, hobbled by stale plotting and a curious lack of sensuality.",17.0
down in the valley,"The premise of Old West clashing with modern suburbia is fresh and initially intriguing, but the second act degenerates into a clumsy jumble of events which strain credibility.",52.0
evelyn,"Though predictable and sometimes overly sentimental, Evelyn still manages to be heartwarming.",64.0
snake eyes,"Snake Eyes has a number of ingredients that promise a trashy fun time; unfortunately, they're lost in an energetic and stylish thriller with a frustratingly hollow core.",41.0
da sweet blood of jesus,"Da Sweet Blood of Jesus has no shortage of style, but it isn't enough to make this horror-tinged Spike Lee joint one of his best -- or worth recommending.",47.0
journeys end,"Journey's End brings R.C. Sherriff's 90-year-old play to the screen with thrilling power, thanks to director Saul Dibb's hard-hitting urgency and brilliant work from a talented cast.",92.0
